Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
Lord_Kebun,556720665,51045,22959,10906,446516,29643,5875866,TRUE,FALSE,English
dakotaz,555571395,130395,23656,4260,4679129,288803,15618381,TRUE,FALSE,English
JesusAVGN,552800700,95025,29284,5817,856217,239912,20372800,TRUE,FALSE,Russian
CooLifeGame,551415705,147480,25530,3738,749049,417124,24700411,TRUE,FALSE,Spanish
Punz,548086440,80610,65648,6799,1047184,1032038,10955659,TRUE,FALSE,English
TenZ,547468575,59085,36154,9265,1309341,1089265,21802136,TRUE,FALSE,English
Enviosity,547295265,145215,30107,3768,325224,259184,9002401,TRUE,FALSE,English
jacksepticeye,547018275,25140,90132,21758,2680557,1801043,12280228,TRUE,FALSE,English
scoped,545615475,91005,28697,5995,1245320,728063,14795250,TRUE,TRUE,English
파카9999 (paka9999),544262235,79770,21234,6822,243289,200346,13067402,TRUE,FALSE,Korean
DansGaming,544144635,168990,56482,3219,819749,7272,17039846,TRUE,FALSE,English
TwitchRivals,542937990,38160,121816,14227,1731076,819013,84076461,TRUE,FALSE,English
ESL_DOTA2,542683680,185085,60367,2932,407825,75816,19677015,TRUE,FALSE,English
Nick28T,541325790,178545,19289,3031,1028622,55767,6303235,TRUE,TRUE,English
LuluLuvely,539511570,105030,26702,5136,968408,616698,14256327,TRUE,FALSE,English
DuendePablo,538130385,128790,31018,4178,806876,326569,13996467,TRUE,FALSE,Spanish
Letshe,537910110,93255,27942,5768,1635096,1088814,27852132,TRUE,FALSE,English
RiceGum,537328815,37365,55775,14380,1162255,373135,8624651,TRUE,FALSE,English
mch_AGG,535972245,488580,15042,1096,330630,152916,13204759,TRUE,FALSE,Portuguese
Staiy,534850215,109650,15429,4877,267123,32211,7276806,TRUE,FALSE,German
epicenter_en1,534080070,71250,71162,7495,463149,59191,9821005,TRUE,FALSE,English
Xayoo_,531545250,47835,35379,11112,706355,186183,11486651,TRUE,FALSE,Polish
Arcadum,529493475,145470,21472,3639,245298,176958,8343260,TRUE,FALSE,English
Mathil1,525432480,135765,24655,3870,321138,30707,10892636,TRUE,FALSE,English
WilburSoot,524928375,11535,206579,45507,3380807,2995465,14795111,TRUE,TRUE,English
Otzdarva,523179000,99645,36626,5250,481610,269681,7338140,TRUE,FALSE,English
btscsgo,520860195,72630,74949,7171,316098,214117,14337562,TRUE,FALSE,English
pijack11,520747575,148485,16114,3507,423416,220392,14069016,TRUE,TRUE,Portuguese
lolpacifictw,519464520,33225,91692,15634,125304,88204,16739723,TRUE,FALSE,Chinese
jean_mago,517241475,86190,163671,6001,595390,339416,14284038,TRUE,FALSE,Portuguese
Emongg,514803945,194370,75112,2648,609845,144476,12924948,TRUE,FALSE,English
